,input,output,expected
0,@कुंभ राशि में जन्मे लोग संभावनाओं से भरी एक जगह के रूप में दुनिया को देखते हैं#,kumbh# rashi# men# janme# log# sambhavanaon# se# bhari# ek# jagah# ke# rup# men# duniya# ko# dekhte# hain# ,@kumbh rashi men janme log sambhavnaon se bhari ek jagah ke roop men duniya ko dekhte hain#
1,@इसका उलट भी सत्य है#,iska# ult# bhi# satya# hai# ,@iska ulat bhi satya hai#
2,@कुछ देवता जो मुख्यत नगर देवता थे अपने संप्रदायवालों के चलते गुण और कार्य में विशिष्ट समझे गए और उनकी महत्ता सर्वोपरि समझी गई#,kuch# devata# jo# mukhyata# nagar# devata# the# apne# sampradayvalon# ke# chalte# gun# aur# karya# men# vishisht# samjhe# gae# aur# unki# mahatta# sarvoperi# samjhi# gai# ,@kuch devta jo mukhyatah nagar devta the apne sampradayvalon ke chalte gun aur karya mein vishisht samjhe gaye aur unki mahatta sarvopati samjhi gayi#
3,@तेल के उत्पादन में संसार में रोमानिया का छठा स्थान है#,tel# ke# utpadan# men# sansar# men# romania# ka# chatha# sthan# hai# ,@tel ke utpadan men sansar men romania ka chhath sthan hai#
4,@बनारसी लाल से मिलकर पुलिस ने सारा भेद प्राप्त कर लिया#,banarasi# lal# se# milkar# poolice# ne# sara# bhed# prapt# kar# liya# ,@banarasi lal se milkar police ne sara bhed praapt kar liya#
5,@अन्य प्रकार की घटनाओं के प्रति बीमा के समान ही बचाव निधि द्वारा अन्य निवेशक को मुद्रा निवेश के लिए भुगतान करना पड़ता है#,anya# prakar# ki# ghatnaon# ke# prati# bima# ke# saman# hi# bachav# nidhi# dwara# anya# niveshak# ko# mudra# nivesh# ke# liye# bhugtan# karana# padta# hai# ,@anya prakar ki ghatanaon ke prati beema ke samaan hi bachav nidhi dwara anya niveshak ko mudra nivesh ke liye bhugtan karana padta hai#
6,@पंडित शिवकुमार शर्मा#,pandit# shivkumar# sharma# ,@pandit shivkumar sharma#
7,@उन्हें एक समूह या एक समुदाय अच्छा लगता है तो वे लगातार दूसरे लोगों से घिरे रहने का प्रयास करते हैं#,unhen# ek# samuh# ya# ek# samuday# accha# lagta# hai# to# ve# lagatar# dusre# logon# se# ghire# rahne# ka# prayas# karte# hain# ,@unhe ek samuh ya ek samuday achha lagta hai to ve lagatar dusre login se ghire rahane ka prayas karte hain#
8,@बीबीसी हिन्दी संवाददाता द्वारा वेंकटरामन रामकृष्णन का साक्षात्कार#,bibis# hindi# sanvadddata# dwara# venkatraman# ramkrushnan# ka# sakshatkar# ,@beebeesee hindi sanwaddaata dwara venkatraman ramkrishnan ka saakshatkar#
9,@हाँ खोज का सिलसिला न रुके#,han# khoj# ka# silsila# n# ruke# ,@haan khoj kaa silsilaa na ruke#
10,@हर्षाली मल्होत्रा बाल फ़िल्म अभिनेत्री#,harshali# malhotra# baal# film# abhinetri# ,@harshali malhotra bal film abhinetri#
