,input,output,expected
0,@kumbh rashi men janme log sambhavnaon se bhari ek jagah ke roop men duniya ko dekhte hain#,मुच्बी राशि# में# जनीन लॉग# संश्कालयन# शे भारा# ए# झगाई# के# ूपर# में# दुनायी# ूओड़ों देकाथ# हीं# ,@कुंभ राशि में जन्मे लोग संभावनाओं से भरी एक जगह के रूप में दुनिया को देखते हैं#
1,@iska ulat bhi satya hai#,इसका# उतल# भी# स्ताय# हि# ,@इसका उलट भी सत्य है#
2,@kuch devta jo mukhyatah nagar devta the apne sampradayvalon ke chalte gun aur karya mein vishisht samjhe gaye aur unki mahatta sarvopati samjhi gayi#,चूं# देवता# ूज़ो# ्युलफ़ीचात# नागारा# देवता# ते# अपने# संयोधवालम्रापा के# कालादीफ़ी ूपनी उर# कर्डक में# ीचिष्ठ शाज्महीं गये# उर# उनकी# महात्त# सर्तवों# शन्यभीत गीय# ,@कुछ देवता जो मुख्यत नगर देवता थे अपने संप्रदायवालों के चलते गुण और कार्य में विशिष्ट समझे गए और उनकी महत्ता सर्वोपरि समझी गई#
3,@tel ke utpadan men sansar men romania ka chhath sthan hai#,तेर# के# उत्पर# में# संसार# में# ्रोमैन# का# छट# श्राथ हि# ,@तेल के उत्पादन में संसार में रोमानिया का छठा स्थान है#
4,@banarasi lal se milkar police ne sara bhed praapt kar liya#,बनारीशार ला# शे मिलाव# ्लोपियन# णी# शपर बीद# परपूत# कर्# लिया# ,@बनारसी लाल से मिलकर पुलिस ने सारा भेद प्राप्त कर लिया#
5,@anya prakar ki ghatanaon ke prati beema ke samaan hi bachav nidhi dwara anya niveshak ko mudra nivesh ke liye bhugtan karana padta hai#,उन्दा प्रकार# कीं# झातांपनी के# प्रतीन# बेमादार के# सामान# ी# भाव# निरोध द्वार# उन्दा निवेशक# ूओड़ों मुद्र# नीफेश# के# लिये# भूतियाँ कनारा# ्राता# हि# ,@अन्य प्रकार की घटनाओं के प्रति बीमा के समान ही बचाव निधि द्वारा अन्य निवेशक को मुद्रा निवेश के लिए भुगतान करना पड़ता है#
6,@pandit shivkumar sharma#,पंडित# शिद्वामुराण शर्मा# ,@पंडित शिवकुमार शर्मा#
7,@unhe ek samuh ya ek samuday achha lagta hai to ve lagatar dusre login se ghire rahane ka prayas karte hain#,उन्हें ए# शुभार यह ए# सुमैड़े# चई लगता# हि# टोू# वे# लगपंड दूसर# लोगिन# शे घेरी# राहन# का# ्रकासाय# कर्टी हीं# ,@उन्हें एक समूह या एक समुदाय अच्छा लगता है तो वे लगातार दूसरे लोगों से घिरे रहने का प्रयास करते हैं#
8,@beebeesee hindi sanwaddaata dwara venkatraman ramkrishnan ka saakshatkar#,बीसीसी ीचिं# संदनवादात्री द्वार# ्येन्त्रकार्म# रामकृंषण# का# सकारवृद ,@बीबीसी हिन्दी संवाददाता द्वारा वेंकटरामन रामकृष्णन का साक्षात्कार#
9,@haan khoj kaa silsilaa na ruke#,हाँ# कोज# का# सिलियस न# ्रुकड़े ,@हाँ खोज का सिलसिला न रुके#
10,@harshali malhotra bal film abhinetri#,झरापहाह मलाहार्यों बाल# ्यालिशन अभिनेत्री# ,@हर्षाली मल्होत्रा बाल फ़िल्म अभिनेत्री#
11,@yah ek dhadhakne vala tara hai jismen achanak kuch minaton ke liye chamak badh jaati hai#,यह# ए# धाधारिकान वैला# तर# हि# जिनसी चानव# चूं# मीनोपित के# लिये# चाकालिक बाध# झाती# हि# ,@यह एक धधकने वाला तारा है जिसमें अचानक कुछ मिनटों के लिए चमक बढ़ जाती है#
